sampleID,MW
NCGC00346640-02,521.54
NCGC00016279-09,194.19
NCGC00346629-02,419.38
NCGC00247049-03,118.09
NCGC00015937-04,145.25
NCGC00188243-04,122.12
NCGC00095622-03,136.11
NCGC00161602-23,444.44
NCGC00161602-22,444.44
NCGC00164588-05,288.39
NCGC00166413-13,508.65
NCGC00389700-01,637.51
NCGC00163460-01,426.56
NCGC00163460-03,426.56
NCGC00163450-12,388.47
NCGC00167328-06,342.44
NCGC00167328-05,342.44
NCGC00263606-10,335.41
NCGC00263606-09,335.41
NCGC00389337-01,554.73
NCGC00346486-06,397.43
NCGC00389234-01,219.24
NCGC00378624-03,427.43
NCGC00378612-02,388.81
NCGC00165979-01,148.16
NCGC00015559-13,222.25
NCGC00015865-10,167.12
NCGC00388110-01,222.24
NCGC00346939-04,478.33
NCGC00015423-04,270.37
NCGC00015039-05,218.26
NCGC00378866-01,484.53
NCGC00095056-03,524.87
NCGC00018199-10,284.22
NCGC00389394-01,580.54
NCGC00015525-14,176.22
NCGC00386330-04,386.42
NCGC00159368-08,242.45
NCGC00167526-10,398.42
NCGC00346694-03,461.88
NCGC00017369-13,284.27
NCGC00142400-16,392.58
NCGC00179363-11,392.58
NCGC00389437-01,676.67
NCGC00015030-04,59.07
NCGC00159460-11,613.8
NCGC00387263-04,226.35
NCGC00163305-01,281.27
NCGC00162046-04,283.19
NCGC00600673-01,440.88
NCGC00183656-07,400.53
NCGC00090965-07,180.2
NCGC00263221-06,529.66
NCGC00263221-07,529.66
NCGC00263136-14,358.49
NCGC00178714-17,339.37
NCGC00015994-09,204.23
NCGC00024928-29,371.52
NCGC00024928-36,371.52
NCGC00402229-03,270.24
NCGC00183867-02,418.4
NCGC00601824-01,534.67
NCGC00178596-02,175.19
NCGC00378763-02,446.51
NCGC00163662-01,416.51
NCGC00387774-01,410.42
NCGC00247663-02,112.09
NCGC00015415-04,125.13
NCGC00388441-01,150.18
NCGC00182037-01,406.5
NCGC00181016-09,348.49
NCGC00346435-03,320.4
NCGC00181044-01,196.11
NCGC00475806-03,312.54
NCGC00142611-02,155.16
NCGC00094495-03,138.13
NCGC00024564-03,401.57
NCGC00016508-05,236.28
NCGC00091618-01,166.13
NCGC00161662-09,383.53
NCGC00161662-08,383.53
NCGC00178391-02,251.25
NCGC00384206-01,419.39
NCGC00390627-03,460.74
NCGC00013273-03,168.2
NCGC00485953-01,546.94
NCGC00249611-09,361.03
NCGC00179542-12,383.52
NCGC00017357-11,216.19
NCGC00389704-01,428.49
NCGC00017348-03,610.57
NCGC00160613-02,129.12
NCGC00390233-01,774.94
NCGC00242597-09,315.42
NCGC00242597-02,315.42
NCGC00386235-06,776.04
NCGC00388389-01,221.21
NCGC00023509-33,404.55
NCGC00389794-01,420.63
NCGC00161345-07,328.5
NCGC00481588-01,467.96
NCGC00013895-16,424.09
NCGC00051573-04,241.31
NCGC00389296-01,456.71
NCGC00024774-13,351.45
NCGC00389708-01,298.35
NCGC00015207-16,369.47
NCGC00346878-08,296.33
NCGC00378610-02,248.25
NCGC00263096-07,292.03
NCGC00345794-05,443.53
NCGC00015112-02,290.45
NCGC00178224-02,290.45
NCGC00024683-25,248.32
NCGC00016360-09,200.24
NCGC00263909-05,389.41
NCGC00389283-01,612.58
NCGC00274080-02,288.39
NCGC00346705-05,174.2
NCGC00346705-04,174.2
NCGC00346487-06,394.48
NCGC00166276-06,309.27
NCGC00379189-05,348.23
NCGC00507893-01,385.83
NCGC00015142-02,121.14
NCGC00015049-24,270.24
NCGC00094082-17,302.41
NCGC00378916-05,766.92
NCGC00094846-06,205.17
NCGC00095143-04,481.55
NCGC00095143-10,481.55
NCGC00390812-02,275.26
NCGC00346565-08,447.89
NCGC00482959-01,568.53
NCGC00346512-02,410.43
NCGC00018246-02,376.45
NCGC00262966-01,470.52
NCGC00164358-03,256.43
NCGC00018123-10,146.21
NCGC00346438-05,587.71
NCGC00015675-15,211.22
NCGC00188943-05,156.1
NCGC00014993-11,188.22
NCGC00015785-10,314.47
NCGC00247664-03,113.12
NCGC00095236-01,432.38
NCGC00159462-17,720.96
NCGC00389637-01,517.13
NCGC00390613-01,480.47
NCGC00167533-07,488.61
NCGC00016023-21,180.17
NCGC00346680-03,467.26
NCGC00387072-02,303.41
NCGC00023423-06,517.56
NCGC00389367-01,174.15
NCGC00018218-11,174.2
NCGC00386198-03,389.61
NCGC00181342-05,405.45
NCGC00160628-16,610.52
NCGC00263625-08,348.53
NCGC00414891-01,191.25
NCGC00182039-04,417.51
NCGC00161679-13,475.63
NCGC00386232-01,401.9
NCGC00025297-06,321.38
NCGC00025297-13,321.38
NCGC00389503-01,140.07
NCGC00094854-12,158.12
NCGC00181767-07,273.24
NCGC00386200-05,303.41
NCGC00015513-15,111.15
NCGC00015513-19,111.15
NCGC00015513-18,111.15
NCGC00370976-05,474.59
NCGC00370976-03,474.59
NCGC00018113-18,164.2
NCGC00263092-02,414.51
NCGC00016024-07,304.25
NCGC00164524-01,176.12
NCGC00015657-02,390.52
NCGC00182028-01,602.68
NCGC00386434-02,405.36
NCGC00387853-04,465.55
NCGC00017325-12,142.11
NCGC00379018-02,473.49
NCGC00346555-05,459.51
NCGC00159458-19,558.65
NCGC00248705-02,122.12
NCGC00015898-21,275.35
NCGC00381709-22,275.35
NCGC00263105-04,438.47
NCGC00346932-01,306.41
NCGC00388614-02,383.45
NCGC00180669-02,356.33
NCGC00015691-09,77.15
NCGC00015801-13,278.31
NCGC00161408-05,256.09
NCGC00093356-29,243.22
NCGC00182545-01,466.63
NCGC00091400-07,116.19
NCGC00263479-03,340.46
NCGC00015663-02,259.22
NCGC00022472-11,346.47
NCGC00022403-04,257.22
NCGC00379235-02,342.83
NCGC00181327-02,402.66
NCGC00015874-09,399.97
NCGC00017389-03,353.37
NCGC00390587-03,529.97
NCGC00344576-01,132.12
NCGC00390246-01,306.27
NCGC00344326-02,280.45
NCGC00091507-03,126.11
NCGC00167432-05,563.67
NCGC00142492-02,228.2
NCGC00510317-01,882.03
NCGC00390646-02,437.48
NCGC00015255-07,199.64
NCGC00091449-01,164.2
NCGC00378927-02,422.78
NCGC00480790-01,320.32
NCGC00180420-04,512.46
NCGC00167520-06,343.42
NCGC00263237-05,520.49
NCGC00389317-01,198.11
NCGC00022304-11,163.2
NCGC00076924-04,213.24
NCGC00159448-05,178.19
NCGC00178874-05,162.21
NCGC00178520-08,376.14
NCGC00185778-05,329.23
NCGC00379154-03,309.32
NCGC00092372-08,259.33
NCGC00023673-09,267.25
NCGC00015064-02,174.2
NCGC00263188-12,463.48
NCGC00263188-03,463.48
NCGC00162359-04,332.85
NCGC00263551-04,474.2
NCGC00387254-01,474.56
NCGC00015029-07,101.11
NCGC00093802-13,288.43
NCGC00344519-02,59.07
NCGC00182079-09,430.55
NCGC00344630-04,313.78
NCGC00178304-03,440.4
NCGC00159486-05,179.17
NCGC00166307-18,396.66
NCGC00414907-01,103.12
NCGC00065890-14,266.3
NCGC00390728-03,214.07
NCGC00475865-01,257.25
NCGC00166076-16,272.25
NCGC00015034-19,136.15
NCGC00160365-02,121.16
NCGC00163540-04,300.27
NCGC00263514-04,244.2
NCGC00389608-01,414.5
NCGC00344312-02,142.11
NCGC00015097-11,203.24
NCGC00015097-07,203.24
NCGC00018204-17,350.46
NCGC00017339-04,208.22
NCGC00017222-14,456.71
NCGC00043225-04,134.09
NCGC00378558-02,414.47
NCGC00373232-03,342.3
NCGC00346566-04,403.21
NCGC00179511-07,385.49
NCGC00378691-04,748.3
NCGC00092273-03,204.62
NCGC00167356-09,444.42
NCGC00253627-02,381.35
NCGC00402276-04,293.25
NCGC00013082-05,174.11
NCGC00178710-03,424.53
NCGC00181329-03,424.53
NCGC00483051-01,780.99
NCGC00163572-02,316.26
NCGC00381565-03,339.44
NCGC00016418-20,216.19
NCGC00159470-02,117.15
NCGC00018179-07,482.44
NCGC00344342-02,244.26
NCGC00389547-01,271.64
NCGC00168108-01,320.4
NCGC00386730-03,372.48
NCGC00018295-05,301.39
NCGC00018257-11,241.24
NCGC00414911-01,129.16
NCGC00378631-01,519.69
NCGC00021304-05,330.47
NCGC00178148-03,198.17
NCGC00165908-04,324.46
NCGC00248704-02,180.16
NCGC00165740-18,424.5
NCGC00165740-07,424.5
NCGC00164555-08,305.29
NCGC00346469-02,413.28
NCGC00346469-07,413.28
NCGC00346533-14,738.89
NCGC00167739-06,542.85
NCGC00159461-01,505.64
NCGC00025162-04,228.38
NCGC00092360-02,251.25
NCGC00095645-03,584.67
NCGC00386512-01,428.51
NCGC00371122-04,451.91
NCGC00016258-11,172.18
NCGC00247542-02,538.46
NCGC00390431-01,352.47
NCGC00165990-01,88.06
NCGC00162413-15,560.64
NCGC00167540-03,131.18
NCGC00016960-09,490.63
NCGC00263533-11,253.26
NCGC00378713-01,489.66
